Records,ClientId_WithIndex_ms,ClientId_WithoutIndex_ms,ClientTrainerId_WithIndex_ms,ClientTrainerId_WithoutIndex_ms,BlocksReturned
100,10.4480,1.8701,0.5326,1.0751,10
200,9.6783,3.3930,0.0000,3.8395,10
300,11.6975,4.2691,0.0000,3.6533,10
400,9.9272,6.5220,0.5607,7.3235,10
500,11.3515,6.9692,0.5300,7.0181,10
600,13.4381,11.1685,0.0000,8.1677,10
700,11.5795,11.9072,0.1154,11.0049,10
800,10.6081,12.3193,0.5456,12.0912,10
900,13.3858,15.0988,0.3958,17.0645,10
1000,12.5807,15.2348,0.0000,15.5597,10
2000,9.6142,24.5001,0.2090,31.3964,10
5000,8.2720,79.7643,1.1865,81.3376,10
10000,12.0793,147.2120,1.0273,149.1805,10
